"","year","mean_pH"
"1",1971,6.2
"2",1974,6.2
"3",1975,6.50714285714286
"4",1976,6.33333333333333
"5",1977,6.7
"6",1978,6.4625
"7",1979,6.65833333333333
"8",1980,7.07083333333333
"9",1981,7.05333333333333
"10",1982,6.86666666666667
"11",1983,6.60416666666667
"12",1984,6.785
"13",1985,7.07604166666667
"14",1986,7.32395833333333
"15",1987,7.08333333333333
"16",1988,7.04333333333333
"17",1989,6.89166666666667
"18",1990,7.0075
"19",1991,6.94625
"20",1992,6.92916666666667
"21",1993,6.91104166666667
"22",1994,6.76666666666667
"23",1995,6.78125
"24",1996,6.75972222222222
"25",1997,6.868125
"26",1998,6.65416666666667
"27",1999,6.85388888888889
"28",2000,6.90694444444444
"29",2001,7.19722222222222
"30",2002,7.28138888888889
"31",2003,6.99270833333333
"32",2004,7.27638888888889
"33",2005,7.32638888888889
"34",2006,7.18402777777778
"35",2007,7.25416666666667
"36",2008,7.19722222222222
"37",2009,7.275
"38",2010,7.0375
"39",2011,7.42152777777778
"40",2012,7.32569444444444
"41",2013,7.05803571428571
"42",2014,6.9125
"43",2015,6.87222222222222
"44",2016,7.07277777777778
"45",2017,7.32895066666667
"46",2018,6.59229166666667
"47",2019,6.92916666666667
"48",2020,6.7
