"Year","DuckSLR"
1978,-0.0462857142857143
1979,-0.0725833333333333
1980,-0.0810833333333333
1981,-0.0759166666666667
1982,-0.0735
1983,0.0304166666666667
1984,0.00283333333333333
1985,-0.0510833333333333
1986,-0.0340833333333333
1987,0.0196666666666667
1988,-0.0796666666666667
1989,-0.0450833333333333
1990,-0.0578333333333333
1991,0.0200833333333333
1992,0.008
1993,0.023
1994,-0.0423333333333333
1995,-0.01275
1996,0.0258333333333333
1997,0.04575
1998,0.0799166666666667
1999,0.0408333333333333
2000,0.00166666666666667
2001,0.0236666666666667
2002,0.0101666666666667
2003,0.04125
2004,0.0315833333333333
2005,0.0935833333333333
2006,0.0525
2007,0.0208333333333333
2008,0.042
2009,0.109166666666667
2010,0.1245
2011,0.0796666666666667
2012,0.109444444444444
2013,0.0769166666666667
2014,0.101666666666667
2015,0.0708333333333333
2016,0.116666666666667
2017,0.11275
2018,0.130833333333333
2019,0.165083333333333
2020,0.137166666666667
2021,0.133583333333333
2022,0.1235
2023,0.183666666666667
