"","Year","Season","EstimatedNumberBrownShrimp","EstimatedNumberPinkShrimp","EstimatedNumberWhiteShrimp","TotalShrimp"
"1","1987","Summer",0,1025404.15527783,NA,1025404.15527783
"2","1987","Fall",203898.611272928,290421.877323054,26609.0263312875,520929.51492727
"3","1988","Summer",24858.519877986,1344960.72057925,NA,1369819.24045724
"4","1988","Fall",822701.593982452,1059876.9538075,37181.063731227,1919759.61152118
"5","1989","Summer",118455.254282077,623474.975897599,NA,741930.230179677
"6","1989","Fall",614924.020045376,317538.087291532,152064.847763761,1084526.95510067
"7","1990","Summer",177346.264985188,132980.21090313,NA,310326.475888317
"8","1990","Fall",535730.846376496,487914.706061446,266420.163443188,1290065.71588113
"9","1991","Summer",2895695.152881,1029643.22500969,NA,3925338.37789069
"10","1991","Fall",465511.822842119,282094.237314606,179841.862520962,927447.922677688
"11","1992","Summer",2529.38572866945,8161678.53820141,NA,8164207.92393008
"12","1992","Fall",837564.216406735,726300.002248162,276696.046960421,1840560.26561532
"13","1993","Summer",3129.37575072965,681594.197135614,NA,684723.572886344
"14","1993","Fall",2078283.51807505,2859845.32578581,243181.806442945,5181310.6503038
"15","1994","Summer",0,2844079.13490889,NA,2844079.13490889
"16","1994","Fall",1689856.08139963,4728050.8991009,775621.343401256,7193528.32390178
"17","1995","Summer",68411.701406979,4137335.68381594,NA,4205747.38522292
"18","1995","Fall",2274500.18122619,9838409.42650948,3492367.34846562,15605276.9562013
"19","1996","Summer",45840.3155874422,194108.133952828,NA,239948.449540271
"20","1996","Fall",3189571.05852614,6235155.52893544,1286988.59205256,10711715.1795141
"21","1997","Summer",95816.3137609444,215722.227843736,NA,311538.541604681
"22","1997","Fall",5233166.60737618,155515.114804499,1277940.8335126,6666622.55569328
"23","1998","Summer",6703.48378223602,791925.501204655,NA,798628.984986891
"24","1998","Fall",1269532.69909176,7820558.61028507,1260700.51567747,10350791.8250543
"25","1999","Summer",17313389.2361722,3806348.85211898,NA,21119738.0882912
"26","1999","Fall",1612327.1531773,3641931.6572386,4242102.47825605,9496361.28867195
"27","2000","Summer",770845.304310929,1211497.7669953,NA,1982343.07130623
"28","2000","Fall",3876040.93282827,777899.766026053,1826129.11142913,6480069.81028345
"29","2001","Summer",288596.948417085,266335.799221987,NA,554932.747639072
"30","2001","Fall",894297.122676722,561189.312425412,379500.659240206,1834987.09434234
"31","2002","Summer",6166136.36172567,2680978.40101686,NA,8847114.76274253
"32","2002","Fall",834339.71173193,2001323.43112365,562748.622365637,3398411.76522122
"33","2003","Summer",958097.537092734,29781.8372484277,NA,987879.374341161
"34","2003","Fall",2158948.88292063,572927.228157349,670541.049120016,3402417.16019799
"35","2004","Summer",791414.04297966,1508.23129956058,NA,792922.274279221
"36","2004","Fall",1740696.11995907,1050387.43816329,776937.765616414,3568021.32373877
"37","2005","Summer",67240.9637848707,84772.1595098965,NA,152013.123294767
"38","2005","Fall",4334256.82281691,183203.606615827,827089.708288476,5344550.13772122
"39","2006","Summer",1959252.12340307,3276545.76090403,NA,5235797.8843071
"40","2006","Fall",506782.553943578,131246.127466652,2538970.09782894,3176998.77923917
"41","2007","Summer",326683.12159534,460091.848441454,NA,786774.970036794
"42","2007","Fall",3763084.31890897,1011335.67067181,5426730.30750308,10201150.2970839
"43","2008","Summer",3993985.12805809,2511885.0181168,NA,6505870.14617489
"44","2008","Fall",2442144.19892164,1313599.89397733,1554069.27202414,5309813.36492311
"45","2009","Summer",674746.302027363,518223.804963344,NA,1192970.10699071
"46","2009","Fall",1678048.5365386,1487564.94179472,1837381.98476259,5002995.46309591
"47","2010","Summer",12233890.6791362,8935.3695014819,NA,12242826.0486377
"48","2010","Fall",332133.090143863,222621.972967987,833416.542767313,1388171.60587916
"49","2011","Summer",14097608.1515974,0,NA,14097608.1515974
"50","2011","Fall",907845.35176097,256676.367977852,306533.052543623,1471054.77228244
"51","2012","Summer",3882947.73227417,750933.007907284,NA,4633880.74018145
"52","2012","Fall",761246.42203108,416916.995410384,1173722.703595,2351886.12103646
"53","2013","Summer",1335164.52961944,1513884.97544524,NA,2849049.50506468
"54","2013","Fall",1055838.37443184,288168.875222192,3015617.17623113,4359624.42588516
"55","2014","Summer",1421534.24769567,155069.497043944,NA,1576603.74473961
"56","2014","Fall",787545.409294186,207026.758568985,2304024.43090787,3298596.59877104
"57","2015","Summer",1735303.56750783,23472.5125779725,NA,1758776.0800858
"58","2015","Fall",1301610.49185171,689613.047670269,5073099.79641463,7064323.33593661
"59","2016","Summer",1706542.16381411,279549.533861307,NA,1986091.69767542
"60","2016","Fall",3358075.02226831,699379.138987952,10249745.5065609,14307199.6678172
"61","2017","Summer",903434.464737709,4641931.13361096,NA,5545365.59834867
"62","2017","Fall",2073774.77826443,321471.60544084,7370608.01779965,9765854.40150492
"63","2018","Summer",4594343.0886228,27463.9787499152,NA,4621807.06737271
"64","2018","Fall",1257366.30841757,367127.211862221,3365772.85697149,4990266.37725128
"65","2019","Summer",19694570.9823693,38655.527493181,NA,19733226.5098625
"66","2019","Fall",1572368.57080813,78409.8114173144,2243563.11731065,3894341.4995361
